"globalid","bv_7gr_gi","bv_7jb_ba","bv_7jb_bt","bv_7jb_si","bv_7tk","bv_7se","bv_ad_te","bv_km_bt","bv_km_tk","bv_km_se"
"{0C6DA38E-C3B5-4351-A641-871803A0DA1A}",NA,NA,"7JB-BT_4",NA,"7TK_0","7SE_0",NA,"7KM-BT_3","KM-TK_0","KM-SE_0"
"{C8C2F5EE-3683-4B8B-87BD-7AAF3519B425}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{58B71149-A818-4245-8E28-D13FE8C0D3B1}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{135FF212-8A7C-4FEA-A85F-E14B43CE2873}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{CEFA60C2-73D0-414F-8A9B-24A1315E91DF}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{B4D076BB-A74E-4045-BBDB-5A5A699FD09E}","","","",NA,"7TK_0","",NA,NA,"KM-TK_0",""
"{44CC9526-14D6-46DB-A853-A966AFEADFF6}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{C195704B-43CD-4456-93D3-FC6050E7ABE1}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{91F545B6-9F50-48D1-8A8F-9BF7C1A72121}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{9E479A52-EF60-4F92-AA1B-1E753A84EF20}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{6585B748-C12F-4276-AC11-F851295B2533}",NA,"7JB-BA_2","7JB-BT_6","7JB-SI_6",NA,NA,NA,"7KM-BT_y",NA,NA
"{197CFCDC-479E-4D62-A1C0-617197686B28}",NA,NA,NA,NA,"7TK_0",NA,NA,NA,"KM-TK_0",NA
"{FC811ECE-5F05-47D0-BB8C-C476C8622835}",NA,NA,"7JB-BT_1",NA,"7TK_2","7SE_0",NA,"7KM-BT_0","KM-TK_2","KM-SE_0"
"{65DB602F-DBE0-4ABC-8BD2-8D5346F01787}",NA,NA,NA,NA,"7TK_0",NA,NA,NA,"KM-TK_0",NA
"{70B129FF-C692-489F-B3CB-AFBC180456BC}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{52E56104-04B4-444B-A6FD-6C4E67A850ED}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{00484DA8-93C6-4AAA-ADDE-60CC3B80DC1E}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{FB1AA244-C979-4749-9419-0C90FC4899FF}",NA,NA,"7JB-BT_1",NA,"7TK_1","7SE_0",NA,"7KM-BT_0","KM-TK_1","KM-SE_0"
"{8CE0CBBF-4C83-43E1-8F04-EE1EFC0B5379}",NA,"7JB-BA_1","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{CB98B6E5-4E42-49AC-9717-D8268B9B5F9F}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{B245F9A2-734E-4D61-B622-E878B25BE035}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{407F095E-835A-4B78-95D5-58CC10E7133C}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{87B347C4-2B97-420F-BB1C-49F7514556AD}",NA,"7JB-BA_2","7JB-BT_2",NA,NA,NA,NA,"7KM-BT_1",NA,NA
"{0D68790E-CE63-4949-A381-ED6A8D42D5B4}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_1","AD-TE_0",NA,"KM-TK_0","KM-SE_1"
"{BE3DA8E8-026E-4C4D-925B-15FB5790BD3C}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{8B084442-FEB8-4DBC-9623-F4B2AEAD0D27}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{80AA76C3-AAA7-4522-AFC2-EE459437FD0E}",NA,"7JB-BA_3","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{50C86E5D-C85C-4787-84EB-56D4295E1BD6}",NA,"7JB-BA_3","7JB-BT_2",NA,NA,NA,NA,"7KM-BT_1",NA,NA
"{4E2A6766-EDAF-4329-BA53-19A41E981529}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{41E4D293-D1EE-4B08-95A1-0ACBA516B53F}",NA,"","",NA,NA,NA,NA,NA,NA,NA
"{29A06849-A374-4A8F-ABAB-93BB3C24FC87}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{7FF0563D-DBEC-49C5-91E8-25605516E3CB}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{6108D770-EBEA-47CA-A173-409F1AF7E05F}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{2B400305-B58C-4F9A-83B6-FDF9ECE9FD83}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{A45CCD17-7F2B-4D48-839C-B4C8F487E247}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{C489A72F-7325-4CF0-B5D1-8C99D1D31314}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{32667860-9ED1-4A0D-98C6-C3ED2D1BE594}",NA,NA,NA,NA,"7TK_0",NA,NA,NA,"KM-TK_0",NA
"{10CEB4FA-E67C-45A4-8FBC-1D6A93D0A891}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{BB06E0C7-DDBF-40ED-A6E2-B506C5304BE8}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{618BF6A7-AD25-4E36-ABFD-BF465F0683D2}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{E9EA74CE-CF9D-4DA4-992A-7720D59F8F56}",NA,"7JB-BA_2","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{B2C5296B-0861-4F54-8DEB-715B70FF76C8}","","","",NA,"","",NA,NA,"",""
"{2EC40612-B819-480F-89EF-162A276EBCEC}",NA,NA,"",NA,"7TK_0","",NA,NA,"KM-TK_0",""
"{6A239A74-70A4-4A56-8D4D-87E996B53C0C}",NA,"7JB-BA_2","7JB-BT_2",NA,NA,NA,NA,"7KM-BT_1",NA,NA
"{3507F444-6093-4840-BCE6-D441097A5A39}",NA,NA,"7JB-BT_1",NA,"7TK_2","7SE_0",NA,"7KM-BT_0","KM-TK_2","KM-SE_0"
"{96C416AE-2ED4-4A70-AB01-41321C97F973}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{3D26970A-3A5F-4120-BDAC-72C58019AA6B}",NA,NA,NA,NA,"7TK_0",NA,NA,NA,"KM-TK_0",NA
"{403B83EC-4E7C-4F8F-9180-5032DF9316F1}",NA,"7JB-BA_2","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{A090909B-F419-4844-9C5E-F33429AC14D1}",NA,"7JB-BA_2","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{3F0177F3-C952-4095-AC50-89421F44182B}",NA,"7JB-BA_2","7JB-BT_2",NA,NA,NA,NA,"7KM-BT_1",NA,NA
"{EB756744-288D-4033-81B6-7EE6A1A707AD}",NA,"7JB-BA_2","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{AD8C4641-0FC5-4313-92F9-365D51D21D0B}",NA,"7JB-BA_2","7JB-BT_2",NA,NA,NA,NA,"7KM-BT_1",NA,NA
"{B9B32D13-45D5-4A61-BD88-D715839F3983}",NA,"7JB-BA_2","7JB-BT_2",NA,NA,NA,NA,"7KM-BT_1",NA,NA
"{FE7AE64A-5F2C-463A-BEAD-522CAEAA623D}",NA,"7JB-BA_3","7JB-BT_2",NA,NA,NA,NA,"7KM-BT_1",NA,NA
"{94820925-2320-47EA-976B-1A7FA7A68020}",NA,"7JB-BA_1","7JB-BT_1",NA,NA,NA,NA,"7KM-BT_0",NA,NA
"{95EC034B-2372-44BC-96AA-800C702E1B86}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{D819A565-BC7A-48F6-B19A-A5EC6830911F}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{C85AFA42-60D7-4B67-99D6-DE78ACBD4805}",NA,"","",NA,NA,NA,NA,NA,NA,NA
"{18E46C85-B0E9-4CF0-8C09-1CAAB24DFCED}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{63999B02-F2AD-4A43-855B-95482D4917E9}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{F338DDF2-CB54-4423-809A-CD2BBFA8885D}","7GR-GI_1","7JB-BA_1",NA,"7JB-SI_1","7TK_0","7SE_0","AD-TE_0",NA,"KM-TK_0","KM-SE_0"
"{08B39BE1-8DEB-47D7-AB9F-1F0060D29B19}","","7JB-BA_2","7JB-BT_2","7JB-SI_1","","",NA,"7KM-BT_1","",""
"{4894AE73-9186-466F-9B85-F596726FCEBF}","","","7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{990A27C9-1DFE-4E43-98E3-7972064B17BA}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{D4F6B7C1-7274-46C7-A425-E29DC22F041D}",NA,"7JB-BA_2","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{4E29F62B-3158-4B44-986F-A7746195C1F1}","","","7JB-BT_1",NA,"7TK_1","7SE_0",NA,"7KM-BT_0","KM-TK_1","KM-SE_0"
"{E2B874ED-6050-4834-959D-2A0C2B679148}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{DD173742-9D96-4CBF-A2EE-020FCB075220}","","7JB-BA_4","7JB-BT_4","7JB-SI_1","","",NA,"7KM-BT_3","",""
"{FCE2B658-077A-44D2-B870-AFEFCA678040}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"{9CCD9655-B83C-47F2-B730-1CD0782C312C}",NA,"7JB-BA_2","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{6A24514B-F544-4150-AD4C-36467F6B0178}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{11B2432C-9CDC-42BF-8FC9-992370CBC6CF}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{444524E1-CC23-4286-BD9F-0AFEB29DFE0B}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{F9FC1241-A152-4B32-B6D5-0E25AEA92985}",NA,"7JB-BA_4","7JB-BT_4","7JB-SI_1",NA,NA,NA,"7KM-BT_3",NA,NA
"{9F8364AB-6EA5-43D2-8EC3-CE618E784A7F}",NA,"7JB-BA_2","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{EEE35C19-BADA-4884-95AF-02E6CF365F91}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{C3B7F00F-AE1D-4911-B370-CB70846FB306}",NA,NA,"7JB-BT_1",NA,"7TK_0","7SE_0",NA,"7KM-BT_0","KM-TK_0","KM-SE_0"
"{DE2ED170-93BA-49F0-817F-7C9C577982C7}",NA,NA,NA,NA,"7TK_0",NA,NA,NA,"KM-TK_0",NA
"{CE2585CB-AC2C-48FA-A9A8-6BF1264AE87B}",NA,"7JB-BA_2","7JB-BT_2","7JB-SI_1",NA,NA,NA,"7KM-BT_1",NA,NA
"{E35C027F-5A64-4993-AF86-22162E8CE1FE}","","7JB-BA_2","7JB-BT_3","7JB-SI_1","","",NA,"7KM-BT_2","",""
"{31D7120F-656E-4464-95F7-3F19B7B6493C}","","7JB-BA_2","7JB-BT_2","7JB-SI_1","","",NA,"7KM-BT_1","",""
"{547397DD-33EC-4885-886A-98AC389BF979}","","7JB-BA_2","7JB-BT_2","7JB-SI_1","","",NA,"7KM-BT_1","",""
"{37800D47-C024-4A9C-8C22-07ABA469BEE6}",NA,"","",NA,NA,NA,NA,NA,NA,NA
