"globalid","kartleggingsenhet_1m2","ano_GT"
"{750E85A1-068A-4A86-9D13-0C0FD3DAF816}","T14-C-1","NA T14-1"
"{4A39F7AF-7AA2-4AAA-9907-E52D08268186}","T14-C-1","NA T14-1"
"{14CF9106-FE2B-4E03-B0DC-5AE32AFD1E7F}","V1-C-6","NA V1-24"
"{14CF9106-FE2B-4E03-B0DC-5AE32AFD1E7F}","V1-C-6","NA V1-23"
"{63BEE88A-40F9-48C9-B7C7-82960DCA63E5}","V1-C-5","NA V1-22"
"{63BEE88A-40F9-48C9-B7C7-82960DCA63E5}","V1-C-5","NA V1-21"
"{F895016D-46E3-4DC4-81AC-22060D841C05}","T34-C-2","NA T34-3"
"{F895016D-46E3-4DC4-81AC-22060D841C05}","T34-C-2","NA T34-11"
"{F895016D-46E3-4DC4-81AC-22060D841C05}","T34-C-2","NA T34-2"
"{C646D4CD-CCD9-474F-9FEE-B64E8D681BBF}","T4-C-1","NA T4-1"
"{0ED706D6-5AE6-47AF-A78F-6709C16A865B}","V1-C-6","NA V1-24"
"{0ED706D6-5AE6-47AF-A78F-6709C16A865B}","V1-C-6","NA V1-23"
"{6379CB55-7917-486D-94F6-535A2B7F4A56}","V1-C-5","NA V1-22"
"{6379CB55-7917-486D-94F6-535A2B7F4A56}","V1-C-5","NA V1-21"
"{F01F8D2A-3AFE-4973-8F4C-D2753473072D}","T4-C-1","NA T4-1"
"{287A06BD-4313-4015-B6A4-A97558C10BE2}","V1-C-6","NA V1-24"
"{287A06BD-4313-4015-B6A4-A97558C10BE2}","V1-C-6","NA V1-23"
"{984D28FA-D169-413F-8765-B36B321C8D47}","V1-C-6","NA V1-24"
"{984D28FA-D169-413F-8765-B36B321C8D47}","V1-C-6","NA V1-23"
"{6FFA82E4-805D-4453-AA2F-659A56471937}","V1-C-6","NA V1-24"
"{6FFA82E4-805D-4453-AA2F-659A56471937}","V1-C-6","NA V1-23"
"{2E22F884-AB7C-48EB-8DD9-A8AD344B9734}","T4-C-1","NA T4-1"
"{5A48D564-B8BB-4823-851B-0D2A390E1DBA}","T4-C-1","NA T4-1"
"{B3A03D40-EA4E-4E4F-8FA0-A5FD96D44F37}","T34-C-2","NA T34-3"
"{B3A03D40-EA4E-4E4F-8FA0-A5FD96D44F37}","T34-C-2","NA T34-11"
"{B3A03D40-EA4E-4E4F-8FA0-A5FD96D44F37}","T34-C-2","NA T34-2"
"{07019AF1-6A51-441A-A9E7-F74A4F1472A5}","ikke_kartlagt",NA
"{00C75C7D-70A0-40B7-A43D-1FB83A4108EE}","T34-C-2","NA T34-3"
"{00C75C7D-70A0-40B7-A43D-1FB83A4108EE}","T34-C-2","NA T34-11"
"{00C75C7D-70A0-40B7-A43D-1FB83A4108EE}","T34-C-2","NA T34-2"
"{8213D53A-A0EB-47BE-BCE2-0A6D267F1F59}","T34-C-2","NA T34-3"
"{8213D53A-A0EB-47BE-BCE2-0A6D267F1F59}","T34-C-2","NA T34-11"
"{8213D53A-A0EB-47BE-BCE2-0A6D267F1F59}","T34-C-2","NA T34-2"
"{AE07E4F7-E832-4399-B2D6-FA2B3926DCE2}","T4-C-1","NA T4-1"
"{2B627129-43D3-4A38-B2DC-7F032CBFF10F}","T4-C-1","NA T4-1"
"{C02B3800-8ADD-49BE-9ED1-E1EADE3843EB}","T45-C-3","NA T45-4"
"{85586A80-718C-464D-BD41-0C6681E36468}","T32-C-4","NA T32-4"
"{F0EC3958-33D8-4A05-9BDA-3200E6A328E2}","T4-C-1","NA T4-1"
"{1BB897A2-562E-46BA-8D5D-20D784619138}","T45-C-3","NA T45-4"
"{F5F0F01E-66F3-4186-A055-779A0F3D7473}","T4-C-17","NA T4-17"
"{9ED2F283-71B3-4690-811C-B5EA885E12F7}","T4-C-1","NA T4-1"
"{93FCDD7A-8009-4988-BBE0-D12E7537F250}","T4-C-2","NA T4-2"
"{9C702379-D4E0-4AC8-BB47-816BB1F95403}","T4-C-2","NA T4-2"
"{93730618-72A4-49BA-B433-5D43334C6A5B}","T4-C-1","NA T4-1"
"{BE8D9B18-24A7-4A71-B7AD-9D18015A595D}","T4-C-2","NA T4-2"
"{1F35F4CD-69C7-4943-80EC-57F5BDDF8671}","T4-C-2","NA T4-2"
"{A3596714-385B-4335-AFEC-885FE68CD6E1}","T4-C-1","NA T4-1"
"{78E127D4-8871-49BC-8E71-367527EE0C49}","T44-C-1","T44-1"
"{34A2F21B-E9ED-439C-BE09-EA64E641B5A4}","T4-C-2","NA T4-2"
"{95425C41-6670-4089-9C2C-5724AD5860E3}","T4-C-1","NA T4-1"
"{51CB58EE-6D5D-4B84-B449-9C8A213FCE5A}","T43-C-1","T43-1"
"{4A7AB564-4904-4D9D-84F1-23EE6C15C2E6}","T4-C-2","NA T4-2"
"{9BBE1EEC-01A8-43E8-A021-0B4340BB0F4D}","T4-C-1","NA T4-1"
"{30CEA49B-A36D-4C5B-B2D5-6F059A3A1542}","V1-C-5","NA V1-22"
"{30CEA49B-A36D-4C5B-B2D5-6F059A3A1542}","V1-C-5","NA V1-21"
"{C5BF1522-4956-4160-AD81-35BF627DDEE9}","T31-C-1","NA T31-1"
"{9ADCBF60-17DB-41FE-B1EE-5C94E7A1E72F}","T31-C-2","NA T31-2"
"{FEE48912-851E-4E6A-AEDE-2CF770512A15}","T31-C-2","NA T31-2"
"{A1A761B5-B4BE-4560-B1E1-172B9F3C9618}","T31-C-2","NA T31-2"
"{E050F6C2-CDA5-4875-83DC-5481518B26CB}","T31-C-2","NA T31-2"
"{9CC43E87-53E6-4E43-B885-532BD747395C}","T31-C-1","NA T31-1"
"{C0773884-CCD0-4803-B774-BF439BEF6456}","ikke_kartlagt",NA
"{238152E0-F209-4839-B157-61874C4E58AC}","ikke_kartlagt",NA
"{EF40B731-555C-467C-9099-DCEA5DD32436}","ikke_kartlagt",NA
"{283B0C0B-AAE7-4B97-90BD-AA35C96C0467}","ikke_kartlagt",NA
"{3E675CCD-09C4-4901-A81C-70DDBF994FF0}","ikke_kartlagt",NA
"{A2E1E4EF-CAA1-46B7-A7F2-F43E751F1725}","V1-C-5","NA V1-22"
"{A2E1E4EF-CAA1-46B7-A7F2-F43E751F1725}","V1-C-5","NA V1-21"
"{1417AFD7-5A4C-4DB6-A1DC-4FAE6063EBA8}","V3",NA
"{001A3476-6915-4A27-9397-F9F661069AE9}","T31-C-2","NA T31-2"
"{268F446F-0C61-49BF-B3DB-01F151CD7319}","V1-C-5","NA V1-22"
"{268F446F-0C61-49BF-B3DB-01F151CD7319}","V1-C-5","NA V1-21"
"{12749F17-8BA1-4EB2-84A3-633846AEC586}","V1-C-5","NA V1-22"
"{12749F17-8BA1-4EB2-84A3-633846AEC586}","V1-C-5","NA V1-21"
"{169BD197-7D47-4271-AE69-AC618143B671}","V1-C-5","NA V1-22"
"{169BD197-7D47-4271-AE69-AC618143B671}","V1-C-5","NA V1-21"
"{0E22CF70-8627-41FA-A073-493C628E51B2}","T3-C-2","NA T3-2"
"{2DD39BB9-EC49-4379-8F1A-64ADE7DD2FD8}","T3-C-2","NA T3-2"
"{B53870E6-7E51-4DF1-8C17-E3BE72875063}","T3-C-3","NA T3-3"
"{FEDFFD62-069C-45EF-B32C-6E7F66A0156F}","T31-C-2","NA T31-2"
"{839EE5F9-5763-4DBD-83D8-219A2190E022}","T31-C-2","NA T31-2"
"{C85C97E1-290F-42AB-BB50-E3DFD58E2661}","T31-C-1","NA T31-1"
"{33EAF3BC-AE33-4D06-95C8-7E8E4043AC01}","T14-C-1","NA T14-1"
"{DE922124-9A4C-42A0-99C0-8CDAE56DE629}","T3-C-2","NA T3-2"
"{9E83857B-AF29-4C8E-A5FE-974664F5C865}","T3-C-3","NA T3-3"
"{2E4862FE-8B56-4250-84B3-AAC33B402C45}","V1-C-6","NA V1-24"
"{2E4862FE-8B56-4250-84B3-AAC33B402C45}","V1-C-6","NA V1-23"
"{95033ADC-BEF1-4C5C-8324-F6DD10F6A2D2}","T4-C-1","NA T4-1"
"{DD2E5219-734F-4AF5-BAD3-F929EC75DBFA}","T4-C-1","NA T4-1"
"{CE1E7546-CA1A-445A-9E3A-55503B12501E}","T4-C-6","NA T4-6"
"{38E2470F-3E0F-4283-97B9-71DB015F8F20}","V1-C-6","NA V1-24"
"{38E2470F-3E0F-4283-97B9-71DB015F8F20}","V1-C-6","NA V1-23"
"{0B4F0A1F-C47F-44F3-A98D-75A6B58170EB}","T3-C-3","NA T3-3"
